Block Group ID,High School Name,geoid,education_value
530530618001,Lincoln High School,530530618001,-0.66942318
530530620004,Oakland High School,530530620004,-0.45795147
530530628023,Mt. Tahoma High School,530530628023,-0.29903626
530530611004,Foss High School,530530611004,-0.15749734
530530616021,SOTA,530530616021,0.10665335
530530632003,IDEA,530530632003,0.19903359
530530603001,SAMI,530530603001,0.29636297
530530615001,Stadium High School,530530615001,0.71761768
530530609061,Dolores Silas High School,530530609061,0.90512437
